# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1909
#@/user_id	b4d312a8-44fb-429c-b7a3-9b6b97ef9ed4
a 	啊	c=7 d=1.11359 t=1909
song 	宋	c=2 d=1.16842 t=1909
song li 	送禮	c=0 d=0.0484325 t=1909
suo jin 	縮進	c=1 d=0.404542 t=1909
suo yi 	所以	c=2 d=0.23845 t=1909
suo zai 	所在	c=1 d=0.218712 t=1909
tai 	太	c=1 d=0.985112 t=1909
tai hao le 	太好了	c=1 d=0.15259 t=1909
tan suo 	探索	c=1 d=0.767206 t=1909
tao lun 	討論	c=1 d=0.814647 t=1909
teng 	騰	c=1 d=0.831104 t=1909
ti 	體	c=1 d=0.524663 t=1909
ti dao le 	提到了	c=1 d=0.0655462 t=1909
ti huan 	替換	c=1 d=0.193013 t=1909
ti jiao 	提交	c=2 d=0.778801 t=1909
ti qu 	提取	c=1 d=0.0550232 t=1909
tian 	天	c=1 d=0.621885 t=1909
tiao 	跳	c=1 d=0.392586 t=1909
tiao li 	調理	c=1 d=0.0702988 t=1909
tiao shi 	調試	c=1 d=0.654907 t=1909
ting shuo 	聽說	c=2 d=0.519322 t=1909
ting wen 	聽聞	c=1 d=0.283654 t=1909
tong 	同	c=1 d=0.279431 t=1909
tong guo 	通過	c=1 d=0.360595 t=1909
tong xin 	通信	c=8 d=1.865 t=1909
tu 	圖	c=2 d=0.886955 t=1909
tu le 	圖了	c=1 d=0.0500366 t=1909
tu pian 	圖片	c=4 d=2.90074 t=1909
tu pian le 	圖片了	c=1 d=0.449329 t=1909
tu xiang 	圖像	c=1 d=0.843665 t=1909
tu xing 	圖形	c=2 d=1.71292 t=1909
tui chu 	退出	c=1 d=0.697676 t=1909
tui song 	推送	c=1 d=0.0963276 t=1909
tuo li 	脫離	c=1 d=0.348192 t=1909
tuo pan 	托盤	c=2 d=1.32789 t=1909
wai guan 	外觀	c=1 d=0.826959 t=1909
wai mian 	外面	c=1 d=0.398519 t=1909
wan cheng 	完成	c=3 d=1.65079 t=1909
wan quan 	完全	c=1 d=0.346456 t=1909
wang jie 	往屆	c=1 d=0.145148 t=1909
wei 	位	c=1 d=0.600496 t=1909
wei 	爲	c=7 d=3.05399 t=1909
wei dian zi 	微電子	c=1 d=0.362402 t=1909
wei sha 	爲啥	c=2 d=1.51584 t=1909
wei shen me 	爲什麼	c=3 d=0.957762 t=1909
wei xin 	微信	c=7 d=3.46206 t=1909
wei yu 	位於	c=1 d=0.379083 t=1909
wen 	問	c=1 d=0.873716 t=1909
wen 	文	c=5 d=0.965605 t=1909
wen ben kuang 	文本框	c=1 d=0.418952 t=1909
wen dang 	文檔	c=1 d=0.650509 t=1909
wen ding 	穩定	c=1 d=0.421052 t=1909
wen jian 	文件	c=3 d=1.09781 t=1909
wen le 	問了	c=1 d=0.463013 t=1909
wen ti 	問題	c=3 d=1.40683 t=1909
wen zi 	文字	c=2 d=0.105006 t=1909
wo 	我	c=50 d=9.01135 t=1909
wo er ma 	沃爾瑪	c=0 d=0.0477114 t=1909
wo er ma ban 	沃爾瑪辦	c=1 d=0.479505 t=1909
wo me 	我麼	c=1 d=0.433874 t=1909
wo men 	我們	c=14 d=5.97157 t=1909
wo men ba 	我們把	c=1 d=0.460704 t=1909
wo pa 	我怕	c=1 d=0.980199 t=1909
wo pa ma 	我怕嗎	c=1 d=0.465334 t=1909
wo ye 	我也	c=1 d=0.506617 t=1909
wu 	吳	c=1 d=0.472367 t=1909
wu 	無	c=1 d=0.331211 t=1909
wu ge 	五個	c=2 d=0.114607 t=1909
wu nai 	無奈	c=1 d=0.694197 t=1909
wu song 	霧凇	c=1 d=0.697676 t=1909
xi an 	西安	c=1 d=0.260621 t=1909
xi an shu ju ku 	西安數據庫	c=1 d=0.238115 t=1909
xi an song 	西安宋	c=1 d=0.491644 t=1909
xi an song li 	西安送禮	c=1 d=0.486752 t=1909
xi tong 	系統	c=4 d=1.1745 t=1909
xia 	下	c=3 d=0.951993 t=1909
xia lai 	下來	c=1 d=0.182684 t=1909
xia tu 	下圖	c=1 d=0.941765 t=1909
xia zai 	下載	c=4 d=1.86573 t=1909
xian 	線	c=1 d=0.392586 t=1909
xian mu 	羨慕	c=2 d=0.726149 t=1909
xian shi 	顯示	c=1 d=0.909373 t=1909
xian zai 	現在	c=15 d=3.01659 t=1909
xiang 	像	c=1 d=0.122456 t=1909
xiang 	想	c=2 d=0.822835 t=1909
xiang ge 	祥哥	c=1 d=0.384812 t=1909
xiang guan 	相關	c=1 d=0.571209 t=1909
xiang mu 	項目	c=1 d=0.178173 t=1909
xiao 	小	c=1 d=0.57695 t=1909
xiao 	笑	c=1 d=0.900325 t=1909
xiao ao 	笑傲	c=0 d=0.0238115 t=1909
xiao ao shang 	笑傲上	c=1 d=0.239309 t=1909
xiao zhao 	校招	c=1 d=0.451581 t=1909
xie yi 	協議	c=0 d=0.0128093 t=1909
xie yi zhan 	協議棧	c=1 d=0.128735 t=1909
xie zai 	卸載	c=1 d=0.960789 t=1909
xin 	新	c=2 d=0.774916 t=1909
xin 	芯	c=7 d=1.78252 t=1909
xin gui 	新規	c=1 d=0.621885 t=1909
xin hao 	信號	c=1 d=0.121238 t=1909
xin jian 	新建	c=1 d=0.980199 t=1909
xin jian a si o 	新建阿斯哦	c=1 d=0.494109 t=1909
xin pian 	芯片	c=2 d=0.904837 t=1909
xin qing 	心情	c=3 d=1.4486 t=1909
xin tiao 	心跳	c=2 d=0.677057 t=1909
xin xi 	信息	c=10 d=2.73806 t=1909
xing 	性	c=2 d=1.23123 t=1909
xing 	行	c=1 d=0.491644 t=1909
xing huo 	星火	c=3 d=1.24309 t=1909
xing ming 	姓名	c=3 d=0.942655 t=1909
xu duo 	許多	c=1 d=0.634448 t=1909
xu hao 	序號	c=1 d=0.548812 t=1909
xu ni 	虛擬	c=1 d=0.565525 t=1909
xu ni ji 	虛擬機	c=2 d=0.212439 t=1909
xu yao 	需要	c=2 d=1.1351 t=1909
xue 	學	c=1 d=0.752014 t=1909
xue hao 	學號	c=1 d=0.390628 t=1909
xue ke 	學科	c=2 d=0.684565 t=1909
xue mai 	血脈	c=1 d=0.451581 t=1909
xue wei 	學位	c=3 d=1.73002 t=1909
xue xi 	學習	c=4 d=1.29992 t=1909
xue xiao 	學校	c=2 d=0.555111 t=1909
xue yuan 	學院	c=6 d=2.95421 t=1909
xun 	訊	c=1 d=0.83527 t=1909
xun lian 	訓練	c=1 d=0.99005 t=1909
yan chang hui 	演唱會	c=1 d=0.927743 t=1909
yan ge 	嚴格	c=2 d=1.00912 t=1909
yan zheng 	驗證	c=1 d=0.449329 t=1909
yang 	樣	c=2 d=0.745129 t=1909
yang shi 	樣式	c=5 d=2.9592 t=1909
yao 	要	c=7 d=3.68819 t=1909
yao shi 	要是	c=1 d=0.410656 t=1909
ye 	也	c=6 d=1.73284 t=1909
ye ke yi 	也可以	c=2 d=0.532592 t=1909
ye mian 	頁面	c=4 d=1.98226 t=1909
ye shi 	也是	c=3 d=1.18761 t=1909
ye xu 	也許	c=1 d=0.427415 t=1909
yi 	一	c=3 d=0.981845 t=1909
yi 	以	c=1 d=0.109154 t=1909
yi ban 	一般	c=1 d=0.40657 t=1909
yi bei 	一倍	c=1 d=0.0765355 t=1909
yi e gao 	一惡搞	c=1 d=0.063609 t=1909
yi ge 	一個	c=11 d=2.35792 t=1909
yi hang 	一行	c=2 d=1.13596 t=1909
yi jie 	一屆	c=1 d=0.278037 t=1909
yi jing 	已經	c=2 d=0.790571 t=1909
yi lai 	以來	c=1 d=0.08291 t=1909
yi nian 	一年	c=1 d=0.308819 t=1909
yi sheng 	一生	c=1 d=0.790571 t=1909
yi sheng yi 	一生一	c=1 d=0.927743 t=1909
yi si 	意思	c=2 d=0.789565 t=1909
yi tian 	一天	c=1 d=0.402524 t=1909
yi xia 	一下	c=1 d=1.06799 t=1909
yi zhi 	一直	c=1 d=0.782705 t=1909
yin ru 	引入	c=1 d=0.607273 t=1909
yin ru you 	引入有	c=1 d=0.559898 t=1909
yin wei 	因爲	c=1 d=0.16696 t=1909
yin yong 	引用	c=2 d=0.34669 t=1909
ying gai 	應該	c=3 d=0.348886 t=1909
ying jie 	應屆	c=1 d=0.458406 t=1909
ying le 	贏了	c=1 d=0.267135 t=1909
ying li 	盈利	c=1 d=0.349938 t=1909
ying wen 	英文	c=6 d=1.68602 t=1909
ying yong 	應用	c=3 d=1.18019 t=1909
yong 	永	c=1 d=0.634448 t=1909
yong guo 	用過	c=1 d=0.66365 t=1909
yong hu 	用戶	c=1 d=0.0939493 t=1909
yong you 	擁有	c=1 d=0.810584 t=1909
you 	又	c=1 d=0.680451 t=1909
you 	右	c=4 d=2.75863 t=1909
you 	有	c=11 d=1.77425 t=1909
you dian 	有點	c=2 d=0.909373 t=1909
you hua 	優化	c=2 d=1.10521 t=1909
you kong 	有空	c=1 d=0.479505 t=1909
you mei 	優美	c=1 d=0.690734 t=1909
you shang jiao 	右上角	c=1 d=0.382893 t=1909
you shi 	優勢	c=1 d=0.759572 t=1909
you shi hou 	有時候	c=2 d=1.71081 t=1909
you you 	又有	c=1 d=0.239309 t=1909
yu 	與	c=7 d=1.70056 t=1909
yu dao 	遇到	c=1 d=0.650509 t=1909
yu fa 	語法	c=1 d=0.40657 t=1909
yu yan 	語言	c=7 d=2.37524 t=1909
yuan 	原	c=1 d=0.360595 t=1909
yuan 	源	c=1 d=0.0850088 t=1909
yuan 	院	c=1 d=0.298197 t=1909
yuan cheng 	遠程	c=1 d=0.0972957 t=1909
yuan chuang 	原創	c=1 d=0.847894 t=1909
yuan sheng 	原生	c=5 d=2.7124 t=1909
yuan xi 	院系	c=2 d=0.693222 t=1909
yuan xing 	原型	c=1 d=0.358796 t=1909
yue 	月	c=2 d=1.01968 t=1909
yun 	韻	c=8 d=4.05082 t=1909
yun xing 	運行	c=1 d=0.677057 t=1909
za 	咋	c=2 d=1.00196 t=1909
zai 	在	c=9 d=2.70975 t=1909
zan shi 	暫時	c=1 d=0.392586 t=1909
zao shang 	早上	c=2 d=1.00027 t=1909
zen me 	怎麼	c=8 d=1.61729 t=1909
zhan 	棧	c=1 d=0.18452 t=1909
zhang 	張	c=2 d=0.835207 t=1909
zhang yong 	張永	c=0 d=0.0267135 t=1909
zhang yong hui 	張永輝	c=2 d=0.629069 t=1909
zhao bu dao 	找不到	c=2 d=0.891366 t=1909
zhao dao 	找到	c=1 d=0.873716 t=1909
zhao peng 	趙鵬	c=11 d=3.89351 t=1909
zhe 	這	c=31 d=5.36476 t=1909
zhe bian 	這邊	c=1 d=0.532592 t=1909
zhe duan 	這段	c=2 d=0.105508 t=1909
zhe ge 	這個	c=16 d=3.87666 t=1909
zhe jiu 	這就	c=1 d=0.429557 t=1909
zhe jiu shi 	這就是	c=1 d=0.634448 t=1909
zhe li 	這裏	c=1 d=0.160414 t=1909
zhe me gan 	這麼幹	c=1 d=0.357007 t=1909
zhe me zao 	這麼早	c=1 d=0.918512 t=1909
zhe shi 	這事	c=2 d=1.83705 t=1909
zhe teng 	折騰	c=2 d=1.98012 t=1909
zhe yang 	這樣	c=6 d=2.31125 t=1909
zhe yang de 	這樣的	c=1 d=0.327915 t=1909
zhe yang na ge 	這樣那個	c=1 d=0.486752 t=1909
zhe zhong 	這種	c=2 d=0.913931 t=1909
zhen 	真	c=5 d=1.64713 t=1909
zhen de 	真的	c=3 d=1.03372 t=1909
zhen hao 	真好	c=1 d=0.715338 t=1909
zheng 	整	c=2 d=1.54985 t=1909
zheng shu 	整數	c=2 d=1.71337 t=1909
zheng ze 	正則	c=4 d=3.34091 t=1909
zheng ze biao da shi 	正則表達式	c=1 d=0.532592 t=1909
zhi 	值	c=2 d=0.429869 t=1909
zhi chi 	支持	c=1 d=0.0992613 t=1909
zhi dao 	指導	c=1 d=0.265803 t=1909
zhi dao 	知道	c=3 d=1.07751 t=1909
zhi ding 	指定	c=2 d=1.1743 t=1909
zhi duo 	至多	c=1 d=0.527292 t=1909
zhi hou 	之後	c=2 d=0.950028 t=1909
zhi ji 	之際	c=1 d=0.644036 t=1909
zhi jie 	直接	c=8 d=2.60573 t=1909
zhi jing 	止境	c=1 d=0.332871 t=1909
zhi ling 	指令	c=1 d=0.965605 t=1909
zhi nan 	指南	c=2 d=1.99005 t=1909
zhi neng 	只能	c=2 d=0.366045 t=1909
zhi qian 	之前	c=1 d=0.937067 t=1909
zhi ye 	職業	c=2 d=1.08942 t=1909
zhi you 	只有	c=1 d=0.479505 t=1909
zhi zuo 	製作	c=3 d=0.846599 t=1909
zhong 	中	c=21 d=5.90985 t=1909
zhong duan 	終端	c=1 d=0.909373 t=1909
zhong wen 	中文	c=4 d=2.07123 t=1909
zhong ying wen 	中英文	c=2 d=1.86537 t=1909
zhong yu 	終於	c=1 d=0.410656 t=1909
zhong zhou 	中州	c=1 d=0.71177 t=1909
zhong zhou yun 	中州韻	c=2 d=1.65959 t=1909
zhou 	州	c=6 d=3.55589 t=1909
zhou jie lun 	周杰倫	c=1 d=0.937067 t=1909
zhu 	逐	c=1 d=0.100761 t=1909
zhu ji 	主機	c=1 d=0.0871609 t=1909
zhu li 	主力	c=1 d=0.177284 t=1909
zhu yao 	主要	c=1 d=0.546074 t=1909
zhu ye 	主頁	c=2 d=0.471587 t=1909
zhuan 	轉	c=1 d=0.444858 t=1909
zhuan hua 	轉化	c=1 d=0.226502 t=1909
zhuan huan wei 	轉換爲	c=1 d=0.546074 t=1909
zhuan men 	專門	c=1 d=0.337902 t=1909
zhuan ye 	專業	c=3 d=0.960527 t=1909
zhuang 	裝	c=1 d=0.621885 t=1909
zhuang le 	撞了	c=1 d=0.839457 t=1909
zhuang tai 	狀態	c=1 d=0.484325 t=1909
zhun xun 	準尋	c=1 d=0.382893 t=1909
zhuo mian 	桌面	c=1 d=0.839457 t=1909
zi 	字	c=1 d=0.377192 t=1909
zi chang 	字長	c=1 d=0.386741 t=1909
zi ding yi 	自定義	c=2 d=1.46301 t=1909
zi dong 	自動	c=1 d=0.814647 t=1909
zi dong yi 	自動一	c=1 d=0.946485 t=1909
zi fu 	字符	c=1 d=0.168498 t=1909
zi fu chuan 	字符串	c=5 d=1.15105 t=1909
zi fu huan 	字符換	c=1 d=0.918512 t=1909
zi guang 	紫光	c=2 d=0.797198 t=1909
zi ji 	自己	c=5 d=1.88274 t=1909
zi ti 	字體	c=12 d=5.83722 t=1909
zi you 	自由	c=1 d=0.718924 t=1909
zong 	總	c=1 d=0.634448 t=1909
zong jie 	總結	c=4 d=0.249178 t=1909
zui di ceng 	最底層	c=1 d=0.423162 t=1909
zui hao 	最好	c=1 d=0.144424 t=1909
zui jin 	最近	c=1 d=0.748264 t=1909
zui zhong 	最終	c=1 d=0.364219 t=1909
zun xun 	遵循	c=1 d=0.384812 t=1909
zuo 	做	c=7 d=0.966549 t=1909
zuo hao 	做好	c=0 d=0.0729789 t=1909
zuo wei 	作爲	c=1 d=0.0526021 t=1909
zuo yi xia 	做一下	c=1 d=0.733447 t=1909
zuo zhe 	作者	c=1 d=0.261846 t=1909
